batch_position,place_id,name_hu,place_type,identification_status,passage_count,biblical_book_count,route_count,research_priority,total_score,required_sections,required_source_types,ready_for_research,blocking_issues
1,egypt,Egyiptom,region,certain,660,33,2,0,3134,biblical_significance;key_events;identification_notes;modern_context;ancient_geography;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
2,jordan,Jordán,river,certain,202,21,1,0,1116,biblical_significance;key_events;identification_notes;modern_context;ancient_geography;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
3,moab_1,Moáb,region,certain,162,22,0,0,946,biblical_significance;key_events;identification_notes;modern_context;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
4,zion,Sion,settlement,certain,148,19,0,0,854,biblical_significance;key_events;identification_notes;modern_context;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
5,assyria,Asszíria,region,certain,141,15,0,0,778,biblical_significance;key_events;identification_notes;modern_context;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
6,edom,Edóm,region,certain,111,21,0,0,730,biblical_significance;key_events;identification_notes;modern_context;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
7,gilead_1,Gileád,region,certain,86,21,1,0,652,biblical_significance;key_events;identification_notes;modern_context;ancient_geography;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
8,canaan,Kánaán,region,certain,101,16,1,0,662,biblical_significance;key_events;identification_notes;modern_context;ancient_geography;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
9,ammon,Ammón,region,certain,106,19,0,0,686,biblical_significance;key_events;identification_notes;modern_context;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
10,tyre,Tírusz,settlement,certain,64,19,1,0,540,biblical_significance;key_events;identification_notes;modern_context;ancient_geography;historical_context;archaeology,academic_gazetteer;biblical_text_dataset;excavation_project;heritage_authority;museum;official_archaeological_site;official_geographical_source;peer_reviewed_publication;university_project,True,source_gap
